nct_id,sponsor_types,num_collaborators,countries,num_countries,lead_sponsor_type
NCT04316585,INDUSTRY,0,Canada;Poland,2,INDUSTRY
NCT02830763,OTHER,0,Italy;Japan,2,OTHER
NCT00617877,INDUSTRY,0,,0,INDUSTRY
NCT04975321,OTHER,0,United States,1,OTHER
NCT02149121,INDUSTRY,0,,0,INDUSTRY
NCT03628248,OTHER,0,France,1,OTHER
NCT01866917,OTHER,0,United States,1,OTHER
NCT04506203,OTHER;UNKNOWN,2,Argentina;Spain,2,OTHER
NCT01848483,OTHER,1,United States,1,OTHER
NCT04478435,OTHER,0,Malaysia,1,OTHER
NCT04108676,INDUSTRY;OTHER,1,China,1,INDUSTRY
NCT02158481,INDUSTRY;UNKNOWN,1,United Kingdom,1,INDUSTRY
NCT01835275,OTHER,0,United States,1,OTHER
NCT04263454,OTHER,1,United States,1,OTHER
NCT02239718,OTHER,1,China,1,OTHER
NCT01791608,OTHER;UNKNOWN,2,Colombia,1,OTHER
NCT03297346,OTHER_GOV;OTHER,5,France;Germany;Netherlands;Portugal;Spain,5,OTHER_GOV
NCT02464553,OTHER,0,Czechia,1,OTHER
NCT01024751,INDUSTRY,0,United States,1,INDUSTRY
NCT01133574,INDUSTRY,1,United Kingdom,1,INDUSTRY
NCT04039178,INDUSTRY,0,India,1,INDUSTRY
NCT03384966,INDUSTRY,0,United States;Canada;Denmark;Germany;Netherlands;Singapore;Sweden;United Kingdom,8,INDUSTRY
NCT04886544,INDUSTRY,0,Austria;Poland,2,INDUSTRY
NCT04184830,OTHER,0,,0,OTHER
NCT03695523,OTHER,0,Canada,1,OTHER
NCT05026294,OTHER,0,Saudi Arabia,1,OTHER
NCT02448563,OTHER;NIH,1,,0,OTHER
NCT00879866,INDUSTRY,0,Netherlands,1,INDUSTRY
NCT00553644,NIH,0,United States,1,NIH
NCT02120976,INDUSTRY,0,United States,1,INDUSTRY
NCT02116894,OTHER;INDUSTRY,1,United States,1,OTHER
NCT01290068,INDUSTRY,0,,0,INDUSTRY
NCT04066790,OTHER;INDUSTRY,1,China,1,OTHER
NCT00088829,OTHER;NIH,1,United States,1,OTHER
NCT03618056,NIH,0,United States,1,NIH
NCT02065310,OTHER,0,United States,1,OTHER
NCT04411446,NETWORK;OTHER,1,Argentina,1,NETWORK
NCT04660162,OTHER,0,Netherlands,1,OTHER
NCT03028220,OTHER,0,,0,OTHER
NCT00988559,OTHER;NIH,2,United States,1,OTHER
NCT01136239,OTHER,0,China,1,OTHER
NCT03645590,OTHER;NIH,1,United States,1,OTHER
NCT02916238,OTHER,0,Haiti,1,OTHER
NCT01687712,INDUSTRY,0,United States,1,INDUSTRY
NCT03219918,OTHER,0,Denmark,1,OTHER
NCT01455636,OTHER,0,Bangladesh;Canada,2,OTHER
NCT02268968,OTHER,0,Egypt,1,OTHER
NCT03153423,OTHER,0,Egypt,1,OTHER
NCT03020004,INDUSTRY,0,,0,INDUSTRY
NCT02109640,OTHER,0,United Kingdom,1,OTHER
NCT04559828,OTHER_GOV;OTHER,1,Spain,1,OTHER_GOV
NCT00288574,OTHER;NIH,1,United States,1,OTHER
NCT03651050,OTHER,0,United States,1,OTHER
NCT02787928,OTHER,0,United States,1,OTHER
NCT03419468,OTHER,0,United States,1,OTHER
